	YTD	sharpe	alpha	beta	sortino	ÊÕÒæ±ê×¼²î	Ñ¡¹ÉÄÜÁ¦	×î´ó»Ø³·
2015-12月-31	6.953811	1.3664	0.0161	0.4005	0	0.0157	0.0062	0.1698
2016- 1月-29	-8.431402	-1.0502	0.0033	0.4354	-0.7715	0.0216	-0.0048	-8.5866
2016- 2月-29	0.380673	0.0321	0.0011	0.7409	0.0529	0.0206	-0.0096	-2.082
2016- 3月-31	1.811876	0.3213	-0.0004	0.2387	0.9601	0.0131	0.002	-0.8245
2016- 4月-29	-3.193149	-0.2861	-0.0011	0.6513	-0.3462	0.0163	0.0043	-2.5979
2016- 5月-31	-0.019732	-0.1346	0.0006	0.0813	-0.189	0.0025	-0.0013	-0.4365
2016- 6月-30	3.121505	-0.5132	0.0176	1.8127	-0.539	0.0085	0.0068	-1.4677
2016- 7月-29	2.842015	0.3434	0.0038	0.1996	1.0887	0.0124	0.0097	-0.7511
2016- 8月-31	1.308852	0.1874	-0.0003	0.4468	0.5261	0.0158	0.0074	-1.0542
2016- 9月-30	-0.58168	-0.1754	0.0006	0.5055	-0.2202	0.0114	0.0063	-1.876
2016-10月-31	2.343413	0.4243	-0.007	1.3468	1.0784	0.013	0.0459	-0.8518
2016-11月-30	1.6609	0.3268	0.0032	0.0694	1.039	0.0117	-0.002	-0.2951
2016-12月-09	0.375473	0	0	0	-1	0	0	-0.6652
